t,x_planet,y_planet,x_sputnik,y_sputnik,vx_planet,vy_planet,vx_sputnik,vy_sputnik,energy
2.173561091045930e+06,7.794866483313071e+11,2.825027926464248e+10,6.001580939331813e+11,2.030986281711892e+10,-4.743823740925552e+02,1.299147941466321e+04,-8.358680661292101e+04,9.300349348696922e+03,-1.642369237915025e+35
2.211036282270859e+06,7.794687168967633e+11,2.873713183154791e+10,5.970254045797203e+11,2.065838642594271e+10,-4.825938750276974e+02,1.299117924428353e+04,-8.360058955493046e+04,9.299879131270840e+03,-1.642369237915024e+35
2.248511473495789e+06,7.794504777381335e+11,2.922397305340738e+10,5.938921958906969e+11,2.100689211517798e+10,-4.908051896241182e+02,1.299087394500459e+04,-8.361452318401233e+04,9.299392937364293e+03,-1.642369237915024e+35
2.285986664720719e+06,7.794319308624594e+11,2.971080273801648e+10,5.907584621806526e+11,2.135537927846025e+10,-4.990163147609733e+02,1.299056351693694e+04,-8.362860956190275e+04,9.298890356908745e+03,-1.642369237915025e+35
2.323461855945649e+06,7.794130762768992e+11,3.019762069317495e+10,5.876241976856626e+11,2.170384729381001e+10,-5.072272473170844e+02,1.299024796019292e+04,-8.364285081451690e+04,9.298370966556682e+03,-1.642369237915026e+35
2.360937047170579e+06,7.793939139887286e+11,3.068442672668682e+10,5.844893965609299e+11,2.205229552312801e+10,-5.154379841709713e+02,1.298992727488672e+04,-8.365724913198598e+04,9.297834329302061e+03,-1.642369237915025e+35
2.398412238395509e+06,7.793744440053401e+11,3.117122064636041e+10,5.813540528783760e+11,2.240072331167592e+10,-5.236485222008813e+02,1.298960146113437e+04,-8.367180676885204e+04,9.297279994078457e+03,-1.642369237915024e+35
2.435887429620439e+06,7.793546663342430e+11,3.165800226000840e+10,5.782181606242208e+11,2.274912998754159e+10,-5.318588582848163e+02,1.298927051905368e+04,-8.368652604440962e+04,9.296707495334678e+03,-1.642369237915025e+35
2.473362620845369e+06,7.793345809830640e+11,3.214477137544796e+10,5.750817136965480e+11,2.309751486108788e+10,-5.400689893005568e+02,1.298893444876431e+04,-8.370140934318460e+04,9.296116352587549e+03,-1.642369237915025e+35
2.510837812070298e+06,7.793141879595463e+11,3.263152780050076e+10,5.719447059028486e+11,2.344587722438436e+10,-5.482789121256845e+02,1.298859325038775e+04,-8.371645911554189e+04,9.295506069951438e+03,-1.642369237915025e+35
2.548313003295228e+06,7.792934872715505e+11,3.311827134299305e+10,5.688071309575414e+11,2.379421635062090e+10,-5.564886236376024e+02,1.298824692404728e+04,-8.373167787841517e+04,9.294876135644030e+03,-1.642369237915025e+35
2.585788194520158e+06,7.792724789270543e+11,3.360500181075573e+10,5.656689824794618e+11,2.414253149350230e+10,-5.646981207135537e+02,1.298789546986803e+04,-8.374706821615272e+04,9.294226021467730e+03,-1.642369237915024e+35
2.623263385745088e+06,7.792511629341521e+11,3.409171901162446e+10,5.625302539893186e+11,2.449082188662303e+10,-5.729074002306392e+02,1.298753888797693e+04,-8.376263278147439e+04,9.293555182266027e+03,-1.642369237915024e+35
2.660738576970018e+06,7.792295393010554e+11,3.457842275343964e+10,5.593909389071117e+11,2.483908674282111e+10,-5.811164590658324e+02,1.298717717850272e+04,-8.377837429653562e+04,9.292863055354044e+03,-1.642369237915025e+35
